team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
CAL01,Calibrators 01,City01,CAL01,East,Fenway Park,#204080,#C0C0C0,
CAL02,Calibrators 02,City02,CAL02,East,New Yankee Stadium,#204080,#C0C0C0,
CAL03,Calibrators 03,City03,CAL03,East,Oriole Park at Camden Yards,#204080,#C0C0C0,
CAL04,Calibrators 04,City04,CAL04,East,Tropicana Field,#204080,#C0C0C0,
CAL05,Calibrators 05,City05,CAL05,East,Rogers Centre,#204080,#C0C0C0,
CAL06,Calibrators 06,City06,CAL06,North,Comerica Park,#204080,#C0C0C0,
CAL07,Calibrators 07,City07,CAL07,North,Guarantee Rate Field,#204080,#C0C0C0,
CAL08,Calibrators 08,City08,CAL08,North,Kauffman Stadium,#204080,#C0C0C0,
CAL09,Calibrators 09,City09,CAL09,North,Progressive Field,#204080,#C0C0C0,
CAL10,Calibrators 10,City10,CAL10,North,Target Field,#204080,#C0C0C0,
CAL11,Calibrators 11,City11,CAL11,South,Angel Stadium of Anaheim,#204080,#C0C0C0,
CAL12,Calibrators 12,City12,CAL12,South,Minute Maid Park,#204080,#C0C0C0,
CAL13,Calibrators 13,City13,CAL13,South,Oakland Coliseum,#204080,#C0C0C0,
CAL14,Calibrators 14,City14,CAL14,South,T-Mobile Park,#204080,#C0C0C0,
CAL15,Calibrators 15,City15,CAL15,South,Globe Life Field,#204080,#C0C0C0,
CAL16,Calibrators 16,City16,CAL16,West,Citi Field,#204080,#C0C0C0,
CAL17,Calibrators 17,City17,CAL17,West,Citizens Bank Park,#204080,#C0C0C0,
CAL18,Calibrators 18,City18,CAL18,West,Nationals Park,#204080,#C0C0C0,
CAL19,Calibrators 19,City19,CAL19,West,Truist Park,#204080,#C0C0C0,
CAL20,Calibrators 20,City20,CAL20,West,loanDepot Park,#204080,#C0C0C0,
CAL21,Calibrators 21,City21,CAL21,Central,Wrigley Field,#204080,#C0C0C0,
CAL22,Calibrators 22,City22,CAL22,Central,Great American Ballpark,#204080,#C0C0C0,
CAL23,Calibrators 23,City23,CAL23,Central,American Family Field,#204080,#C0C0C0,
CAL24,Calibrators 24,City24,CAL24,Central,PNC Park,#204080,#C0C0C0,
CAL25,Calibrators 25,City25,CAL25,Central,Busch Stadium III,#204080,#C0C0C0,
CAL26,Calibrators 26,City26,CAL26,Pacific,Chase Field,#204080,#C0C0C0,
CAL27,Calibrators 27,City27,CAL27,Pacific,Coors Field,#204080,#C0C0C0,
CAL28,Calibrators 28,City28,CAL28,Pacific,Dodger Stadium,#204080,#C0C0C0,
CAL29,Calibrators 29,City29,CAL29,Pacific,Petco Park,#204080,#C0C0C0,
CAL30,Calibrators 30,City30,CAL30,Pacific,Oracle Park,#204080,#C0C0C0,
