yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2021,AL,LAA,ANA,W,4,162,82.0,77,85,N,N,N,N,723,5437,1331,265,23,190,464,1394.0,79.0,26.0,59.0,25.0,804,741,4.69,1,4,39,4265,1373,188,592,1453,88,131,0.985,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,1515689.0,102,103,LAA,ANA,ANA
2022,AL,LAA,ANA,W,3,162,81.0,73,89,N,N,N,N,623,5423,1265,219,31,190,449,1539.0,77.0,27.0,54.0,25.0,668,601,3.77,2,17,38,4307,1241,168,540,1383,84,134,0.985,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,2457461.0,102,103,LAA,ANA,ANA
2023,AL,LAA,ANA,W,4,162,81.0,73,89,N,N,N,N,739,5489,1346,248,26,231,518,1524.0,72.0,31.0,79.0,46.0,829,738,4.64,1,9,43,4295,1394,209,636,1445,95,124,0.983,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,2640575.0,104,104,LAA,ANA,ANA
2024,AL,LAA,ANA,W,5,162,81.0,63,99,N,N,N,N,635,5357,1227,227,15,165,482,1416.0,133.0,50.0,86.0,35.0,797,726,4.57,0,7,35,4293,1328,202,601,1252,97,152,0.983,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,2577597.0,102,104,LAA,ANA,ANA
2021,NL,ARI,ARI,W,5,162,81.0,52,110,N,N,N,N,679,5489,1297,308,31,144,537,1465.0,43.0,16.0,54.0,28.0,893,804,5.11,3,4,22,4252,1480,232,555,1238,100,113,0.983,Arizona Diamondbacks,Chase Field,1043010.0,99,101,ARI,ARI,ARI
2022,NL,ARI,ARI,W,4,162,81.0,74,88,N,N,N,N,702,5351,1232,262,24,173,531,1341.0,104.0,29.0,60.0,50.0,740,676,4.25,0,10,33,4290,1345,191,504,1216,86,134,0.985,Arizona Diamondbacks,Chase Field,1605199.0,98,99,ARI,ARI,ARI
2023,NL,ARI,ARI,W,2,162,81.0,84,78,N,Y,Y,N,746,5436,1359,274,44,166,540,1247.0,166.0,26.0,58.0,50.0,761,714,4.48,1,9,44,4306,1375,197,525,1351,56,134,0.99,Arizona Diamondbacks,Chase Field,1961182.0,99,99,ARI,ARI,ARI
2024,NL,ARI,ARI,W,3,162,81.0,89,73,N,N,N,N,886,5522,1452,271,37,211,569,1265.0,119.0,30.0,84.0,66.0,788,742,4.63,0,10,38,4330,1468,181,481,1313,62,138,0.989,Arizona Diamondbacks,Chase Field,2341876.0,101,101,ARI,ARI,ARI
2021,NL,ATL,ATL,E,1,161,80.0,88,73,Y,N,Y,Y,790,5363,1307,269,20,239,549,1453.0,59.0,19.0,67.0,43.0,656,608,3.88,2,18,40,4232,1237,183,516,1417,71,104,0.988,Atlanta Braves,Truist Park,2300247.0,107,105,ATL,ATL,ATL
2022,NL,ATL,ATL,E,1,162,81.0,101,61,Y,N,N,N,789,5509,1394,298,11,243,470,1498.0,87.0,31.0,66.0,36.0,609,556,3.46,1,9,55,4344,1224,148,500,1554,77,110,0.987,Atlanta Braves,Truist Park,3129931.0,102,100,ATL,ATL,ATL
2023,NL,ATL,ATL,E,1,162,81.0,104,58,Y,N,N,N,947,5597,1543,293,23,307,538,1289.0,132.0,27.0,67.0,43.0,716,662,4.14,1,15,52,4320,1341,187,534,1516,82,133,0.986,Atlanta Braves,Truist Park,3191505.0,103,101,ATL,ATL,ATL
2024,NL,ATL,ATL,E,2,162,81.0,89,73,N,Y,N,N,704,5481,1333,273,15,213,485,1461.0,69.0,20.0,58.0,39.0,607,559,3.49,2,17,40,4330,1277,150,449,1553,68,131,0.988,Atlanta Braves,Truist Park,3011755.0,102,101,ATL,ATL,ATL
2021,AL,BAL,BAL,E,5,162,81.0,52,110,N,N,N,N,659,5420,1296,266,15,195,451,1454.0,54.0,23.0,65.0,31.0,956,910,5.84,1,5,26,4206,1518,258,563,1234,74,101,0.987,Baltimore Orioles,Oriole Park at Camden Yards,793229.0,103,105,BAL,BAL,BAL
2022,AL,BAL,BAL,E,4,162,81.0,83,79,N,N,N,N,674,5429,1281,275,25,171,476,1390.0,95.0,31.0,83.0,43.0,688,632,3.97,2,15,46,4300,1406,171,443,1214,91,151,0.985,Baltimore Orioles,Oriole Park at Camden Yards,1368367.0,102,103,BAL,BAL,BAL
2023,AL,BAL,BAL,E,1,162,81.0,101,61,Y,N,N,N,807,5495,1399,309,28,183,512,1370.0,114.0,24.0,45.0,47.0,678,629,3.89,0,12,49,4361,1334,177,473,1431,71,140,0.988,Baltimore Orioles,Oriole Park at Camden Yards,1936798.0,96,96,BAL,BAL,BAL
2024,AL,BAL,BAL,E,2,162,81.0,91,71,N,Y,N,N,786,5567,1391,262,33,235,489,1359.0,98.0,25.0,64.0,45.0,699,632,3.94,0,9,46,4326,1303,175,481,1380,81,100,0.986,Baltimore Orioles,Oriole Park at Camden Yards,2281129.0,95,94,BAL,BAL,BAL
2021,AL,BOS,BOS,E,2,162,81.0,92,70,N,Y,N,N,829,5495,1434,330,23,219,512,1386.0,40.0,21.0,61.0,42.0,749,671,4.26,0,7,49,4257,1409,176,546,1527,108,143,0.981,Boston Red Sox,Fenway Park II,1725323.0,109,109,BOS,BOS,BOS
2022,AL,BOS,BOS,E,5,162,81.0,78,84,N,N,N,N,735,5539,1427,352,12,155,478,1373.0,52.0,20.0,63.0,50.0,787,721,4.53,5,10,39,4293,1411,185,526,1346,85,134,0.985,Boston Red Sox,Fenway Park II,2625089.0,108,108,BOS,BOS,BOS
2023,AL,BOS,BOS,E,5,162,81.0,78,84,N,N,N,N,772,5562,1437,339,19,182,486,1372.0,112.0,26.0,71.0,35.0,776,718,4.52,0,5,43,4290,1416,208,497,1423,102,137,0.982,Boston Red Sox,Fenway Park,2672130.0,106,106,BOS,BOS,BOS
2024,AL,BOS,BOS,E,3,162,81.0,81,81,N,N,N,N,751,5577,1404,311,30,194,493,1570.0,144.0,44.0,73.0,40.0,747,654,4.05,1,13,40,4358,1363,189,461,1353,115,117,0.981,Boston Red Sox,Fenway Park,2659949.0,104,104,BOS,BOS,BOS
2021,NL,CHN,CHC,C,4,162,81.0,71,91,N,N,N,N,705,5306,1255,225,26,210,502,1596.0,86.0,37.0,92.0,30.0,839,765,4.87,1,8,40,4238,1386,235,596,1358,87,149,0.985,Chicago Cubs,Wrigley Field,1978934.0,100,101,CHC,CHN,CHN
2022,NL,CHN,CHC,C,3,162,81.0,74,88,N,N,N,N,657,5425,1293,265,31,159,507,1448.0,111.0,37.0,84.0,36.0,731,642,4.0,0,11,44,4331,1342,207,540,1383,96,139,0.984,Chicago Cubs,Wrigley Field,2616780.0,100,101,CHC,CHN,CHN
2023,NL,CHN,CHC,C,2,162,81.0,83,79,N,N,N,N,819,5504,1399,269,30,196,570,1391.0,140.0,34.0,77.0,52.0,723,651,4.08,1,13,35,4306,1328,179,513,1377,92,137,0.984,Chicago Cubs,Wrigley Field,2775149.0,103,102,CHC,CHN,CHN
2024,NL,CHN,CHC,C,3,162,81.0,83,79,N,N,N,N,736,5441,1318,253,29,170,546,1362.0,143.0,30.0,70.0,41.0,669,603,3.79,1,11,38,4297,1302,181,485,1348,76,91,0.987,Chicago Cubs,Wrigley Field,2909794.0,97,96,CHC,CHN,CHN
